Date,Open,High,Low,Close,Volume,Adj Close
22/8/2016,798.51001,799.299988,794.330017,796.950012,852800,796.950012
19/8/2016,799.789978,801.22998,796.880005,799.650024,1120800,799.650024
18/8/2016,805.359985,808,801.630005,802.75,864600,802.75
17/8/2016,800,805.630005,796.299988,805.419983,1066100,805.419983
16/8/2016,803.5,804.26001,797,801.190002,1057900,801.190002
15/8/2016,807.210022,811.359985,804.030029,805.960022,929800,805.960022
12/8/2016,805.090027,807.190002,803.640015,807.049988,897300,807.049988
11/8/2016,810.469971,813.880005,806,808.200012,1282300,808.200012
10/8/2016,807.049988,810.880005,806.48999,808.48999,918500,808.48999
9/8/2016,804.48999,813.330017,804.059998,807.47998,1607700,807.47998
8/8/2016,806,807.599976,801.690002,805.22998,1221300,805.22998
5/8/2016,800.109985,807.219971,797.809998,806.929993,1807300,806.929993
4/8/2016,798.23999,800.200012,793.919983,797.25,1076000,797.25
3/8/2016,796.469971,799.539978,793.02002,798.919983,1460300,798.919983
2/8/2016,797.330017,802.320007,794.530029,800.119995,1996400,800.119995
1/8/2016,786.669983,807.48999,785.039978,800.940002,3029700,800.940002
29/7/2016,797.710022,803.940002,790,791.340027,5090500,791.340027
28/7/2016,768.840027,768.969971,759.090027,765.840027,3673200,765.840027
27/7/2016,758.969971,764.450012,755.929993,761.969971,1608600,761.969971
26/7/2016,757.52002,759.26001,752.75,757.650024,1189600,757.650024
25/7/2016,757.679993,759.820007,754.070007,757.52002,1073300,757.52002
22/7/2016,757.320007,759.450012,752.659973,759.280029,1046000,759.280029
21/7/2016,757,758.150024,751.52002,754.409973,953100,754.409973
20/7/2016,754.049988,760.640015,754.049988,757.080017,1125100,757.080017
19/7/2016,749.869995,756.590027,748.48999,753.409973,1521800,753.409973
18/7/2016,737.909973,755.140015,736.51001,753.200012,1934900,753.200012
15/7/2016,741,741,734.640015,735.630005,1617100,735.630005
14/7/2016,733.940002,736.140015,730.590027,735.799988,1070400,735.799988
13/7/2016,735.52002,735.52002,729.02002,729.47998,1021800,729.47998
12/7/2016,731.919983,735.599976,727.5,732.51001,1323400,732.51001
11/7/2016,719.419983,728.929993,718.869995,727.200012,1441100,727.200012
8/7/2016,710.559998,717.900024,708.109985,717.780029,1497300,717.780029
7/7/2016,710.109985,710.169983,700.669983,707.26001,1058700,707.26001
6/7/2016,699.840027,713,699,708.969971,1445100,708.969971
5/7/2016,705.01001,708.119995,699.130005,704.890015,1422000,704.890015
1/7/2016,705.099976,712.530029,703.72998,710.25,1549200,710.25
30/6/2016,697.650024,703.77002,694.900024,703.530029,2112500,703.530029
29/6/2016,694.26001,699.5,692.679993,695.190002,2156200,695.190002
28/6/2016,691.369995,692.73999,684.849976,691.26001,1912300,691.26001
27/6/2016,682.48999,683.330017,672.659973,681.140015,2907300,681.140015
24/6/2016,690.169983,705,684.909973,685.200012,4771800,685.200012
23/6/2016,710.549988,714.880005,700.25,714.869995,2125000,714.869995
22/6/2016,714.049988,714.210022,705.880005,710.469971,1452900,710.469971
21/6/2016,710.049988,715.380005,704.659973,708.880005,1515900,708.880005
20/6/2016,710.309998,715.869995,705.409973,706.130005,2282700,706.130005
17/6/2016,721.390015,721.390015,701.119995,704.25,4113100,704.25
16/6/2016,727.960022,730.390015,715.539978,724.25,2250100,724.25
15/6/2016,734.919983,737.150024,731.309998,732.190002,1161700,732.190002
14/6/2016,729.309998,736,726.5,733.25,1329200,733.25
13/6/2016,729.820007,739,729.820007,731.880005,1167700,731.880005
10/6/2016,735.950012,739.640015,730.51001,733.190002,1452500,733.190002
9/6/2016,737.070007,743.929993,736.5,742.52002,959000,742.52002
8/6/2016,739.5,743.809998,735.77002,742.929993,1615700,742.929993
7/6/2016,733.27002,736.710022,730.799988,731.090027,1215700,731.090027
6/6/2016,738.5,738.5,728.289978,730.059998,1499600,730.059998
3/6/2016,741.48999,741.48999,733.909973,735.859985,1230400,735.859985
2/6/2016,746.099976,747.299988,737,744.27002,1695800,744.27002
1/6/2016,748.469971,751.369995,744.340027,748.460022,1039400,748.460022
31/5/2016,748.76001,753.47998,745.570007,748.849976,2124200,748.849976
27/5/2016,737.51001,747.909973,737.01001,747.599976,1738900,747.599976
26/5/2016,736,741.099976,733,736.929993,1360100,736.929993
25/5/2016,735,739.890015,732.599976,738.099976,1610800,738.099976
24/5/2016,719.849976,734.200012,719.650024,733.030029,1894200,733.030029
23/5/2016,719.97998,723.5,716.940002,717.25,1240800,717.25
20/5/2016,716.460022,727.700012,715.01001,721.710022,1739900,721.710022
19/5/2016,718.299988,720.5,710.309998,715.309998,1529900,715.309998
18/5/2016,718.5,725.570007,715.02002,721.780029,1626800,721.780029
17/5/2016,731.059998,735.849976,718,720.190002,1670200,720.190002
16/5/2016,724.320007,732.679993,720,730.299988,1126900,730.299988
13/5/2016,726.619995,731.289978,723.51001,724.830017,1262200,724.830017
12/5/2016,732,735.369995,724.27002,728.070007,1354700,728.070007
11/5/2016,740.52002,740.799988,727.900024,730.549988,1491700,730.549988
10/5/2016,734.960022,740,731.609985,739.380005,1631700,739.380005
9/5/2016,726.700012,734.289978,723.5,729.130005,1903700,729.130005
6/5/2016,712.200012,725.98999,711.950012,725.179993,1982500,725.179993
5/5/2016,715,717.549988,709.450012,714.710022,1483400,714.710022
4/5/2016,706.77002,715.049988,704.049988,711.369995,1708600,711.369995
3/5/2016,712.5,713.369995,707.330017,708.440002,1931000,708.440002
2/5/2016,711.919983,715.409973,706.359985,714.409973,1673800,714.409973
29/4/2016,704.119995,712.109985,703.780029,707.880005,2913900,707.880005
28/4/2016,723.289978,729.26001,703.200012,705.059998,3129500,705.059998
27/4/2016,725.320007,727.150024,709.080017,721.460022,3313100,721.460022
26/4/2016,744.419983,745.590027,720.320007,725.369995,2793200,725.369995
25/4/2016,735.349976,744.880005,735.099976,742.210022,2472100,742.210022
22/4/2016,743.909973,753.919983,730.369995,737.77002,7039900,737.77002
21/4/2016,777.309998,781.679993,771.549988,780,3881400,780
20/4/2016,779.159973,779.659973,771.27002,774.919983,1713100,774.919983
19/4/2016,790.5,790.950012,770.27002,776.25,2197600,776.25
18/4/2016,780.190002,788.549988,777.609985,787.679993,1669700,787.679993
15/4/2016,775.5,780.929993,774.929993,780,1585600,780
14/4/2016,775.359985,779.609985,773.219971,775.390015,1349600,775.390015
13/4/2016,770.309998,775.75,764.590027,771.909973,1771300,771.909973
12/4/2016,758.429993,764.919983,751.570007,764.320007,1369400,764.320007
11/4/2016,765.450012,767.219971,757.340027,757.539978,1588700,757.539978
8/4/2016,765.869995,767.130005,755.77002,759.469971,1171700,759.469971
7/4/2016,765.320007,769.359985,757.5,760.119995,1274900,760.119995
6/4/2016,757.840027,768.419983,756.299988,768.070007,1265600,768.070007
5/4/2016,758.130005,762.869995,755.599976,758.570007,1223900,758.570007
4/4/2016,769.51001,772.440002,761.789978,765.119995,1346200,765.119995
1/4/2016,757.159973,770.039978,755.200012,769.669983,1583700,769.669983
31/3/2016,768.340027,769.080017,758.25,762.900024,1627700,762.900024
30/3/2016,768.210022,777.309998,767.580017,768.340027,2019800,768.340027
29/3/2016,753.679993,767.179993,748.289978,765.890015,2003100,765.890015
28/3/2016,756.169983,758.299988,752.039978,753.280029,1083800,753.280029
24/3/2016,751.200012,757.559998,750.5,754.840027,1555800,754.840027
23/3/2016,763.349976,765.390015,756.030029,757.559998,1233900,757.559998
22/3/2016,758.440002,765,757.880005,760.049988,1104800,760.049988
21/3/2016,753.909973,763.340027,751.27002,762.159973,1438700,762.159973
18/3/2016,761.630005,762.140015,751.820007,755.409973,2811100,755.409973
17/3/2016,757.650024,765.340027,757.359985,758.47998,2228200,758.47998
16/3/2016,749.049988,759,746.5,757.359985,1465300,757.359985
15/3/2016,746.02002,753.01001,742.840027,750.570007,1491600,750.570007
14/3/2016,744.969971,754.26001,743.659973,750.23999,1641200,750.23999
11/3/2016,739.950012,744.900024,736.700012,744.869995,1769000,744.869995
10/3/2016,727.789978,736.539978,723.289978,732.169983,2230800,732.169983
9/3/2016,715.169983,726.23999,712.659973,725.409973,1977200,725.409973
8/3/2016,708.390015,722.25,704,713.530029,2626500,713.530029
7/3/2016,725.150024,727.210022,705.140015,712.799988,3084500,712.799988
4/3/2016,734.799988,735,725.619995,730.219971,2425800,730.219971
3/3/2016,739.47998,741,729.630005,731.590027,2026700,731.590027
2/3/2016,742.869995,743.119995,733.25,739.47998,1814600,739.47998
1/3/2016,721.299988,742.330017,718.640015,742.169983,3005600,742.169983
29/2/2016,721,730.599976,716.840027,717.219971,2253400,717.219971
26/2/2016,733.599976,736.159973,721.940002,724.859985,2123700,724.859985
25/2/2016,722.929993,729.51001,713.22998,729.119995,1807300,729.119995
24/2/2016,710.609985,721.219971,702.02002,720.900024,1854600,720.900024
23/2/2016,726.099976,730.900024,715.669983,717.289978,2066600,717.289978
22/2/2016,729.51001,734.849976,723.450012,729.049988,1875800,729.049988
19/2/2016,715.900024,724.030029,713.119995,722.109985,1745900,722.109985
18/2/2016,733.960022,736,715.549988,717.51001,2363800,717.51001
17/2/2016,727,733.76001,716.609985,731.969971,2457700,731.969971
16/2/2016,718.650024,722.880005,710.179993,717.640015,2172200,717.640015
12/2/2016,712.210022,716,701.580017,706.890015,2326900,706.890015
11/2/2016,696.340027,712.320007,691.190002,706.359985,3250200,706.359985
10/2/2016,711.789978,723.219971,705.390015,706.849976,3015700,706.849976
9/2/2016,692.950012,720.960022,688.5,701.02002,4215000,701.02002
8/2/2016,687.679993,704.52002,682.01001,704.159973,4470500,704.159973
5/2/2016,725.5,726.719971,700.140015,703.76001,5477800,703.76001
4/2/2016,744.590027,745.23999,722.599976,730.030029,5246100,730.030029
3/2/2016,786.280029,791.429993,736.26001,749.380005,6555700,749.380005
2/2/2016,800.5,810.349976,780.599976,780.909973,6792300,780.909973
1/2/2016,771.26001,777.590027,761.380005,770.77002,5576100,770.77002
29/1/2016,748.960022,765.109985,744.200012,761.349976,3790400,761.349976
28/1/2016,738.190002,751.159973,730.599976,748.299988,3105200,748.299988
